Instr (PE 0 - BROADCAST_INVALIDATE) Ciclos totales: 5 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 5 ciclos, Bytes: 8, Metrica BW: 1
Instr (PE 0 - WRITE_MEM) Ciclos totales: 27 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 27 ciclos, Bytes: 108, Metrica BW: 4
Instr (PE 0 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 0 - READ_RESP) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 6
Instr (PE 0 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 0 - READ_RESP) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 6
Instr (PE 1 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 1 - READ_RESP) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 6
Instr (PE 5 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 5 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 5 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 9
Instr (PE 5 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 4 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 4 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 4 - READ_RESP) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 6
Instr (PE 4 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 2 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 2 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 4 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 2 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 2 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 6
Instr (PE 4 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 7 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 7 - READ_RESP) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 6
Instr (PE 3 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 3 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 9
Instr (PE 3 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 6 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 7 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 3 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 6
Instr (PE 6 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 7 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 4
Instr (PE 1 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 1 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 9
Instr (PE 0 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 0 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 9
Instr (PE 2 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 6 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 2 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 7
Instr (PE 6 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 5
Instr (PE 3 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 7 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 3 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 5
Instr (PE 7 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 5
Instr (PE 1 - WRITE_MEM) Ciclos totales: 33 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 33 ciclos, Bytes: 132, Metrica BW: 4
Instr (PE 0 - WRITE_MEM) Ciclos totales: 28 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 28 ciclos, Bytes: 112, Metrica BW: 4
Instr (PE 0 - WRITE_RESP) Ciclos totales: 53 ciclos, En cola: 50 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.170
Instr (PE 1 - WRITE_RESP) Ciclos totales: 11 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.818
Instr (PE 0 - WRITE_RESP) Ciclos totales: 11 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.818
Instr (PE 6 - WRITE_MEM) Ciclos totales: 31 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 31 ciclos, Bytes: 124, Metrica BW: 4
Instr (PE 7 - WRITE_MEM) Ciclos totales: 37 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 37 ciclos, Bytes: 148, Metrica BW: 4
Instr (PE 6 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 7 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 0 - WRITE_MEM) Ciclos totales: 25 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 25 ciclos, Bytes: 100, Metrica BW: 4
Instr (PE 5 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 0 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 5 - READ_RESP) Ciclos totales: 5 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 36, Metrica BW: 7
Instr (PE 2 - WRITE_MEM) Ciclos totales: 29 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 29 ciclos, Bytes: 116, Metrica BW: 4
Instr (PE 5 - WRITE_MEM) Ciclos totales: 33 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 33 ciclos, Bytes: 132, Metrica BW: 4
Instr (PE 2 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 5 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 7 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 4 - WRITE_MEM) Ciclos totales: 31 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 31 ciclos, Bytes: 124, Metrica BW: 4
Instr (PE 5 - WRITE_MEM) Ciclos totales: 29 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 29 ciclos, Bytes: 116, Metrica BW: 4
Instr (PE 0 - WRITE_MEM) Ciclos totales: 27 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 27 ciclos, Bytes: 108, Metrica BW: 4
Instr (PE 4 - WRITE_MEM) Ciclos totales: 30 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 30 ciclos, Bytes: 120, Metrica BW: 4
Instr (PE 7 - READ_RESP) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 2
